"","Autores","n","Apellido"
"1","Agarwal V",57,"Agarwal"
"2","Agarwal V.",1,"Agarwal"
"3","Aggarwal R",34,"Aggarwal"
"4","Aggarwal V",3,"Aggarwal"
"5","Ahmed S",1,"Ahmed"
"6","Ajmani S",1,"Ajmani"
"7","Akarawatcharangura Goo P",3,"Akarawatcharangura"
"8","Akawatcharangura Goo P",2,"Akawatcharangura"
"9","Al-Taei S",2,"Al-Taei"
"10","Ali SS",1,"Ali"
"11","Andreoli L",5,"Andreoli"
"12","Aoude M",1,"Aoude"
"13","Ashford F",2,"Ashford"
"14","Asranna A",1,"Asranna"
"15","Barman B",11,"Barman"
"16","Bartoloni Bocci E",1,"Bartoloni"
"17","Battista S",1,"Battista"
"18","Bethune C",2,"Bethune"
"19","Bohdana D",1,"Bohdana"
"20","Bommakanti KT",1,"Bommakanti"
"21","Boro H",2,"Boro"
"22","Boyd P",2,"Boyd"
"23","Burmester GR",2,"Burmester"
"24","Burns SO",2,"Burns"
"25","COV-AD consortium.",2,"COV-AD"
"26","COVAD Study Group",8,"COVAD"
"27","COVAD Study Group.",18,"COVAD"
"28","COVAD study group",2,"COVAD"
"29","COVAD study group.",4,"COVAD"
"30","Caballero CV",1,"Caballero"
"31","Caballero Uribe CV",1,"Caballero"
"32","Caballero-Uribe CV",13,"Caballero-Uribe"
"33","Cagnotto G",1,"Cagnotto"
"34","Campton N",2,"Campton"
"35","Cansu DÜ",1,"Cansu"
"36","Cavagna L",26,"Cavagna"
"37","Chandwar K",1,"Chandwar"
"38","Chatterjee T",24,"Chatterjee"
"39","Chen JP",1,"Chen"
"40","Chen YM",11,"Chen"
"41","Cheng K",2,"Cheng"
"42","Chibuzo OC",7,"Chibuzo"
"43","Chinoy H",30,"Chinoy"
"44","Chowdhury AC",1,"Chowdhury"
"45","Colunga-Pedraza IJ",8,"Colunga-Pedraza"
"46","Cordeiro RA",1,"Cordeiro"
"47","Covad Study Group",1,"Covad"
"48","Dalbeth N",2,"Dalbeth"
"49","Danielli MG",1,"Danielli"
"50","Darooka N",2,"Darooka"
"51","Day J",30,"Day"
"52","De Angelis R",1,"De"
"53","De La Torre IG",1,"De"
"54","Del Papa N",1,"Del"
"55","Dey D",15,"Dey"
"56","Dey M",2,"Dey"
"57","Distler O",26,"Distler"
"58","Doskaliuk B",2,"Doskaliuk"
"59","Drayson MT",1,"Drayson"
"60","Dyball S",1,"Dyball"
"61","Edgar Gracia-Ramos A",7,"Edgar"
"62","El Kibbi L",7,"El"
